nome,tipo,indirizzo_stradale,comune,provincia,cap,lat,lon,telefono,website,email,source
Agriturismo Val del Tasso,restaurant,ex-binari,Camporengo,Verona,37010,45.5305039,10.7976566,,,,Originali
Panormica,restaurant,Via Casteggioni,Colognola ai Colli,Verona,37030,45.4276594,11.2021384,,,,Originali
il serraglio B&B,restaurant,Via Corte Pietà,Sona,Verona,37060,45.3925133,10.7726741,,,,Originali
Senza nome,restaurant,Via Ungaretti,San Bonifacio,Verona,37047,45.3965894,11.2799223,,,,Originali
Stadio,restaurant,Via Fiume,San Bonifacio,Verona,37047,45.4004269,11.2773434,,,,Originali
La Fucina,restaurant,Piazzale Vittorio Veneto,Bussolengo,Verona,37012,45.4699749,10.8507877,,,,Originali
La Gare,restaurant,Via Vittorio Emanuele III,Nogara,Verona,37054,45.179713,11.0688272,,,,Originali
La Locanda Enoteca,restaurant,Via Ponte Pietra,Verona,Verona,37121,45.4470317,10.9994811,,,,Originali
Carnero,restaurant,Via San Pieretto,Affi,Verona,37010,45.551311,10.7920111,,,,Originali
Il Filò di Compri S.,restaurant,Via Strà,Colognola ai Colli,Verona,37030,45.4152607,11.1815696,,,,Originali
Pizzeria Le rose,restaurant,Via Giuseppe Zamboni,Villafranca di Verona,Verona,37069,45.3413319,10.8153104,+39 045 630 1927,pizza,2158171287,Originali
Pizzeria ristorante,restaurant,SP3,Mozzecane,Verona,37060,45.3111412,10.8248823,,,,Originali
Speck Stube Valeggio,restaurant,Via Monzambano,Valeggio sul Mincio,Verona,37067,45.3647759,10.7252111,,,,Originali
Pizzeria Aurora,restaurant,Via Porto Vecchio,Peschiera del Garda,Verona,37019,45.4336735,10.6989778,,,,Originali
Antica Osteria,restaurant,Via Adolfo Consolini,Albarè,Verona,37010,45.5698696,10.7464036,,,,Originali
Ristorante San Valentino,restaurant,Via S. Valentino,San Mauro di Saline,Verona,37030,45.5558505,11.1189439,,,,Originali
Pizzeria Delle Nazioni,restaurant,Circonvallazione Alfredo Oriani,Verona,Verona,37122,45.4319438,10.986984,"Mo-Sa 11:30-15:00,18:00-23:00",https://www.pizzalongaway.it/,Sa-Su 18:00-22:00,Originali
Gourmet,restaurant,Via Staffali,Villafranca di Verona,Verona,37062,45.3889443,10.9045903,+39 045 987212,https://www.gourmetpizzaecucina.com/it/index.php,info@gourmetpizzaecucina.com,Originali
La città d'oro Liu Xiao,restaurant,Via Nino Bixio,Villafranca di Verona,Verona,37069,45.3541604,10.8421411,,,,Originali
Bassanella,restaurant,Località Volponi,Peschiera del Garda,Verona,37019,45.4533664,10.6509364,,,,Originali
Senza nome,restaurant,Via Ragazzi del ´99,Peschiera del Garda,Verona,37019,45.4470749,10.6642137,node,,,Originali
Antica Arilica,restaurant,Via Mantova,Peschiera del Garda,Verona,37019,45.4370809,10.6845764,,,,Originali
Senza nome,restaurant,Piazza Senatore Alberti,Pacengo,Verona,37017,45.4674276,10.7212525,2265999748,node,,Originali
La Creperie,restaurant,Lungolago Giuseppe Garibaldi,Peschiera del Garda,Verona,37019,45.4431746,10.6958599,,,,Originali
Trattoria Luisa,restaurant,Via Silvestro Lega,Peschiera del Garda,Verona,37019,45.4362148,10.6819545,,,,Originali
Il Richiamo,restaurant,Via Quattro Novembre,Castel d'Azzano,Verona,37060,45.3570745,10.9355651,,,,Originali
Al Santuario,restaurant,Piazzale Madonna del Frassino,Peschiera del Garda,Verona,37019,45.4290338,10.6760311,,,,Originali
Tavernetta,restaurant,Via San Zeno,Cavalcaselle,Verona,37014,45.4381176,10.7211172,,,,Originali
Le Tavernette,restaurant,Via Corrubbio,Albisano,Verona,37010,45.6119437,10.703683,+39 045 7225832,https://pizzeria-le-tavernette.business.site,pizza;italian,Originali
Osteria O La Va O La Spacca,restaurant,Via Brennero,Pescantina,Verona,37026,45.4955713,10.8741044,+39 045 6704997; +39 380 3051339,http://www.olavaolaspacca.it,osteriaolavaolaspacca@yahoo.it,Originali
Ristorante Pizzeria Il Merlo,restaurant,Lungolago Regina Adelaide,Garda,Verona,37016,45.5738322,10.7071578,italian,2280591576,node,Originali
Pizzeria Ristorante Ca' del Borgo,restaurant,Borgo Giuseppe Garibaldi,Bardolino,Verona,37011,45.5489861,10.7207687,+39 045 7210603,http://www.laconchigliabardolino.com,italian,Originali
Cà billi,restaurant,Viale della Repubblica,Costermano sul Garda,Verona,37010,45.584988,10.7422305,,,,Originali
Ristorante Pizzeria Italy,restaurant,Via Oliveti,Albisano,Verona,37010,45.6112599,10.7021064,,,,Originali
alla Borsa,restaurant,Via Goito,Valeggio sul Mincio,Verona,37067,45.3524807,10.7338745,+39 045 7950093,https://www.ristoranteborsa.it/,ristoranteborsa@gmail.com,Originali
Pizzeria ai Lamberti,restaurant,Piazza delle Erbe,Verona,Verona,37121,45.4434886,10.9970857,,,,Originali
Dal Mato,restaurant,Strada Mandella-Baracca,Peschiera del Garda,Verona,37019,45.4362694,10.7093884,,,,Originali
Ristorante Pilotto,restaurant,Strada Mandella-Baracca,Peschiera del Garda,Verona,37019,45.433899,10.7079648,italian,2291820209,node,Originali
Al Cacciatore,restaurant,Via Circonvallazione Sud,Valeggio sul Mincio,Verona,37067,45.3520352,10.7345039,,,,Originali
La Torre,restaurant,Via Circonvallazione Sud,Valeggio sul Mincio,Verona,37067,45.352053,10.7352569,,,,Originali
Tre Corone,restaurant,Via Magenta,Valeggio sul Mincio,Verona,37067,45.3541328,10.734367,+39 045 7950033,"Mo off; Tu-Su 07:00-13:00, 15:30-20:30",2291884642,Originali
Pizzeria,restaurant,Via San Luigi,Pesina,Verona,37013,45.5994951,10.7583292,,,,Originali
La Bussola,restaurant,Via Spagna,Garda,Verona,37016,45.5759759,10.706603,+39 045 7255063,spanish,6471088255,Originali
Albergo Ristorante Grossule,restaurant,Via San Francesco,Roverè Veronese,Verona,37028,45.6259437,11.0715214,regional,2319431175,node,Originali
Albergo Ristorante Jegher,restaurant,SP35,Roverè Veronese,Verona,37028,45.6051523,11.069629,,,,Originali
Senza nome,restaurant,Via Giovanni Paolo II,Cavalcaselle,Verona,37014,45.437036,10.7164512,,,,Originali
Al Graspo,restaurant,Piazza Calderini,Garda,Verona,37016,45.5754683,10.7084577,fish,2353637943,node,Originali
Giuly,restaurant,Via Venti Settembre,Magugnano,Verona,37010,45.7074556,10.7661091,,,,Originali
La Roche,restaurant,Via Venti Settembre,Magugnano,Verona,37010,45.7066687,10.7656523,,,,Originali
Trattoria Bar Panoramico Crero,restaurant,Via per Crero,Torri del Benaco,Verona,37010,45.6391271,10.7115832,,,,Originali
Senza nome,restaurant,Strada Provinciale Monte Baldo,Ferrara di Monte Baldo,Verona,37020,45.7086378,10.8611336,,,,Originali
La Terrazza di Cisano,restaurant,Lungolago Alessandro,Cisano,Verona,37011,45.524637,10.7275307,,,,Originali
Regnum,restaurant,Via Gian Matteo Giberti,Verona,Verona,37122,45.4344928,10.986929,,,,Originali
La Bastia,restaurant,Via Bastia,Valeggio sul Mincio,Verona,37067,45.3526421,10.7314795,,,,Originali
Pizzeria da Gaetano 2,restaurant,Via Magenta,Villafranca di Verona,Verona,37069,45.3560956,10.8389433,+39 045 7902977,pizza,2387688550,Originali
Pico Verde,restaurant,Via Ossario,Sommacampagna,Verona,37062,45.3772784,10.7909035,+39 045 516025,https://www.picoverde.it/,italian;pizza,Originali
Country House Casino di Caccia,restaurant,Strada comunale detta per Bagolina e pel Cappello,Sommacampagna,Verona,37066,45.3881067,10.8005504,,,,Originali
Berna,restaurant,Via Roma,Erbezzo,Verona,37020,45.6408141,11.0010002,+39 045 7075018,pizza,2404915433,Originali
Markas,restaurant,Via Bengasi,Verona,Verona,37135,45.4054307,10.9917921,,,,Originali
Pizzeria l'angolo verde,restaurant,Via Albarin,Negrar di Valpolicella,Verona,37024,45.5779634,10.9594769,,,,Originali
Senza nome,restaurant,Via Proale,Negrar di Valpolicella,Verona,37024,45.5686469,10.9573021,,,,Originali
Al Gavinel,restaurant,Via Ceredo,Sant'Anna d'Alfaedo,Verona,37020,45.6221808,10.9731318,pizza,2424072819,node,Originali
Cà Persiane,restaurant,Località Cà Persiane,Cavaion Veronese,Verona,37013,45.5306572,10.7783284,+39 045 7236847,http://www.agriturismocapersiane.com,italian,Originali
Paglia e Fieno,restaurant,Via San Zeno,Cerea,Verona,37053,45.2046867,11.2029775,2426365564,node,,Originali
Nouvelle Rose,restaurant,Via Libertà,Cerea,Verona,37053,45.1946131,11.2138673,,,,Originali
Trattoria Tre Marchetti,restaurant,Vicolo Tre Marchetti,Verona,Verona,37121,45.4398407,10.9942903,+39 045 8006865,Mo-Su 11:00-15:00; Mo-Su 18:00-00:00,"Tu-Sa 12:30-14:30,19:00-22:30; Su 12:30-15:00",Originali
Golden Beach,restaurant,Via Gardesana,Lazise,Verona,37017,45.497629,10.7332666,,,,Originali
Ristorante La Pergola,restaurant,Via Gardesana,Lazise,Verona,37017,45.4960624,10.7378558,https://www.leancoredellabastia.it/,info@leancoredellabastia.it,italian,Originali
Bar Pizzeria Gelateria Galetto,restaurant,Piazza San Rocco,Valeggio sul Mincio,Verona,37067,45.3553826,10.7325571,+39 045 7950047,9545302722,2451030952,Originali
Origano,restaurant,Via Gasparina,Castelnuovo del Garda,Verona,37014,45.4534346,10.7027233,,,,Originali
Osteria Paverno,restaurant,Via Paverno,Valgatara,Verona,37020,45.5381697,10.913033,,,,Originali
Rose e basilico,restaurant,Piazza Roma,Negrar di Valpolicella,Verona,37024,45.5310122,10.9369052,,,,Originali
Superpizza,restaurant,Via Giuseppe Mazzini,Valeggio sul Mincio,Verona,37067,45.3523624,10.7376929,,,,Originali
Kobe,restaurant,Corso Porta Nuova,Verona,Verona,37122,45.4336021,10.9895584,+39 045 8030722,https://www.ristorantekobe.it/,"We-Mo 12:10-14:45,19:15-23:45",Originali
Al Forte,restaurant,Località Telegrafo,Pastrengo,Verona,37010,45.4895987,10.8100508,+39 045 6770040,https://www.bierstubefestung.com/,info@bierstubefestung.com,Originali
Ristorante Caserma Leopold,restaurant,Località Telegrafo,Pastrengo,Verona,37010,45.485438,10.8044923,,,,Originali
Trattoria alla Madonna,restaurant,Via Venticinque Aprile,Pastrengo,Verona,37010,45.4919642,10.8001305,,,,Originali
Bar Ristorante DA RIGO,restaurant,Via Guglielmo Marconi,Cavaion Veronese,Verona,37010,45.5223445,10.8028365,,,,Originali
Ostregheteria Sottoriva 23,restaurant,Via Don Bassi,Verona,Verona,37121,45.4451016,11.0004575,,,,Originali
Pizzeria Trattoria Gaon,restaurant,Via Val dei Molini,Rubiana,Verona,37013,45.6140652,10.7973205,,,,Originali
L'Isola della Pizza,restaurant,Via Stazione,Villafranca di Verona,Verona,37062,45.3906062,10.9157535,http://www.lisoladellapizza-vr.net,Mo-Su 18:30-22:30; Tu off,italian;pizza,Originali
Sushi Home,restaurant,Via Città di Nimes,Verona,Verona,37122,45.4330117,10.9842333,https://sushihome.it/,info@sushiverona.it,"Tu-Su 10:30-14:30, 17:30-22:30",Originali
Ristorante Cavour,restaurant,Via Cavour,Villafranca di Verona,Verona,37062,45.3968256,10.9146521,+39 045 513038,"Mo-Sa 12:15-14:15,19:30-22:00",italian,Originali
Trattoria Vecio Balilla,restaurant,Via Cesare Battisti,Isola della Scala,Verona,37063,45.2728124,11.0071909,+39 045 7300840,https://www.trattoriaveciobalilla.com/,regional,Originali
Bellavista,restaurant,Strada Provinciale 16,San Mauro di Saline,Verona,37030,45.5476772,11.1209633,,,,Originali
Bettola,restaurant,SP36,Tregnago,Verona,37030,45.5451398,11.1263203,,,,Originali
Pizzeria La Sorpresa,restaurant,Via Cavour,Villafranca di Verona,Verona,37062,45.3957241,10.9126699,+39 045 986895,"Mo-Su 12:00-15:00, 19:30-22:00",pizza,Originali
Free Food,restaurant,Viale Thomas Edison,Zevio,Verona,37059,45.3620533,11.0462919,italian,2541667174,node,Originali
Residenza Vecelli Cavriani,restaurant,Via Caterina Bon Brenzoni,Mozzecane,Verona,37060,45.3090179,10.8170729,+39 347 933 9697,http://ristorazionevecellicavriani.it/,regional,Originali
Corte Trebisonda,restaurant,Via Postumia,Villafranca di Verona,Verona,37062,45.3284254,10.8043218,,,,Originali
La lanterna,restaurant,Via Berto Barbarani,Verona,Verona,37123,45.4418158,10.9820337,+39 045 594929,https://lalanternaverona.it,info@lalanternaverona.it,Originali
Trattoria Monte San Pietro,restaurant,Via Campanari,Badia Calavena,Verona,37030,45.5669156,11.1640513,,,,Originali
Pizzeria Da Gianni,restaurant,Piazza Umberto I,San Giovanni Lupatoto,Verona,37057,45.3817316,11.0466703,https://dagiannipizzeria.it/,info@dagiannipizzeria.it,pizza,Originali
Agriturismo l'Incanto,restaurant,SC,Campofontana,Verona,37030,45.6411804,11.1510354,,,,Originali
Trattoria Ruzzenente,restaurant,Via Duca degli Abruzzi,Villafranca di Verona,Verona,37069,45.3270557,10.8335109,+39 045 6336530,http://www.trattoriaruzzenente.it/,regional,Originali
Bar-Pizzeria La Rotonda,restaurant,Via Roverè Mille,Roverè Veronese,Verona,37028,45.5934345,11.0747149,,,,Originali
Hotel Ristorante Centrale,restaurant,Viale della Rimembranza,Roverè Veronese,Verona,37028,45.5935716,11.0657281,http://enocafe-iris.com,2682476460,node,Originali
San Matteo Church,restaurant,Vicolo San Matteo,Verona,Verona,37121,45.4418376,10.9938715,Mo-Sa 09:00-19:30; Su 09:30-19:00,http://www.grupporialto.it/,"Tu-Sa 12:00-15:00,18:30-22:30",Originali
Ci sta,restaurant,Via Leoni,Verona,Verona,37121,45.4402313,10.9996099,+39 045 594400; +39 345 3692158,https://osteriadaugo.com/,info@osteriadaugo.com,Originali
Ristorante Bar Graziano e Loretta,restaurant,Via Caterina Bon Brenzoni,Mozzecane,Verona,37060,45.3112862,10.8188835,+39 045 793 0253,https://www.dagrazianoeloretta.com/,regional,Originali
Spizzati,restaurant,Via Antonio Murari,Valeggio sul Mincio,Verona,37067,45.3574094,10.7348652,+39 3453139368,http://www.spizzati.it/host/,Mo-Su 17:00-22:00,Originali
Agriturismo Le Bianchette,restaurant,Stradella Bianchette,Sommacampagna,Verona,37066,45.3741946,10.8108922,+39 045 516373,https://www.lebianchette.it/,"Fr,Sa 19:30-23:30; Su 12:00-17:00",Originali
Ristorante al Tesoro,restaurant,Via Fiorita,Sant'Anna d'Alfaedo,Verona,37020,45.5978539,10.9563777,italian,2750087524,node,Originali
Ristoro Martin Pescatore,restaurant,Via Quattro Novembre,Castel d'Azzano,Verona,37060,45.3537009,10.9402618,,,,Originali
Agriturismo Principe Amedeo,restaurant,Via Staffalo,Sommacampagna,Verona,37066,45.391566,10.8019358,https://www.agriturismoprincipeamedeo.it/,regional,2766326415,Originali
Oasi,restaurant,Via Vittorio Veneto,Bagnolo,Verona,37060,45.2724164,10.8929926,2773929608,2773927982,node,Originali
Da Franco,restaurant,Via dell'Industria,Pradelle,Verona,37060,45.2805684,10.8780408,regional,2773962381,node,Originali
Da Ferruccio,restaurant,Via 9 Maggio,Pradelle,Verona,37060,45.2843202,10.8684259,https://www.facebook.com/pages/Trattoria-Da-Ferruccio/453171308084599,"Mo-Fr 12:00-14:00,19:00-21:00; Sa 19:00-21:00; PH off",regional,Originali
Antica Trattoria da Costa,restaurant,Via Guglielmo Marconi,Tormine,Verona,37122,45.2877378,10.8227633,regional,2776925990,node,Originali
Pizzeria Ristorant Rosati,restaurant,Via Caterina Bon Brenzoni,Mozzecane,Verona,37060,45.3094309,10.8177722,+39 045 7930582,https://www.gruppodemar.it/,info@gruppodemar.it,Originali
Pizzeria Due Forni,restaurant,Corso Giuseppe Garibaldi,Villafranca di Verona,Verona,37069,45.3504661,10.8472443,+39 045 2226007,Mo-Su 17:00-22:00,pizza,Originali
Ai Tre Volti,restaurant,Via Angelo Messedaglia,Villafranca di Verona,Verona,37069,45.3490513,10.8464604,+39 045 7902400,5445219829,2802288376,Originali
La bottega della pizza - Bar enoteca,restaurant,Via Roma,Quistello,Verona,37060,45.3041697,10.8137891,,,,Originali
Ristaurante al Castello,restaurant,Via Porta del Lion,Lazise,Verona,37017,45.5042177,10.7330339,,,,Originali
Il Cenacolo,restaurant,Via Teatro Filarmonico,Verona,Verona,37121,45.4391082,10.991162,+39 327 1947596,http://www.luckyindiandonerkebab.it/,"Mo-Fr 00:00-02:00,10:30-24:00; Sa,Su 00:00-04:00,10:30-24:00",Originali
La Cantina del 15,restaurant,Corso Castelvecchio,Verona,Verona,37121,45.4390555,10.9875826,"We 17:00-24:00; Th-Su 09:00-15:30,18:00-24:00",2930629358,node,Originali
Senza nome,restaurant,Via Fontane,Pastrengo,Verona,37010,45.4954196,10.8001657,,,,Originali
Asso de Cope,restaurant,Via Rinaldo da Villafranca,Villafranca di Verona,Verona,37069,45.3490927,10.8443287,pizza,2962843945,node,Originali
Ristorante La Ginestra,restaurant,Corso Milano,Verona,Verona,37138,45.4434585,10.9688369,+39 045 562449; +39 045 8101444,https://www.leopardi.vr.it/index.cfm/it/ristorante-ginestra-verona/,info@ristorantetrerisotti.it,Originali
Assaporito,restaurant,Viale del Lavoro,Verona,Verona,37135,45.4138645,10.9788092,https://www.assaporito.com/trattoria-pizzeria/,http://www.tapasotto.it/,2975421141,Originali
"Tratoria ""Poci""",restaurant,Via San Sebastiano,Cologna Veneta,Verona,37044,45.3178061,11.4297949,,,,Originali
Signorvino,restaurant,Corso Porta Nuova,Verona,Verona,37122,45.4379781,10.9912504,https://www.12ozcj.com/,https://www.signorvino.com/it/negozi/verona,verona.portanuova@signorvino.it,Originali
Senza nome,restaurant,Via Custoza,Villafranca di Verona,Verona,37062,45.3613263,10.798348,,,,Originali
El Pirlar,restaurant,Via Volpare,Villafranca di Verona,Verona,37062,45.3308762,10.8240744,,,,Originali
Tigella Bella,restaurant,Via Sottoriva,Verona,Verona,37121,45.4443315,11.0006213,+39 045 8013098; +39 346 6869387,https://www.osteriaalborgo.it/,"Mo-Sa 07:45-15:00, 18:00-24:00; Su 09:00-15:00",Originali
Macafame,restaurant,Via delle Fogge,Verona,Verona,37121,45.4437732,10.9977511,4553753261,node,,Originali
San Quirico,restaurant,Via Gaetano Donizetti,Sona,Verona,37060,45.4375854,10.8241985,+39 045 6082357,https://www.facebook.com/pizzeriasanquirico,pizza,Originali
Pizzeria Amabile,restaurant,Via Bosco,Palazzolo,Verona,37060,45.4431266,10.819974,,,,Originali
Pizzeria dai Beghini,restaurant,Via Discesa Chiesa,Sona,Verona,37060,45.4328972,10.8324487,+39 0456081216,pizza,3107463539,Originali
Edelweiss,restaurant,Via Prada,San Zeno di Montagna,Verona,37010,45.6731492,10.7802088,,,,Originali
Al Lumicino,restaurant,Via Gabbia,Isola della Scala,Verona,37063,45.2437462,11.0518105,http://www.lumicino.it/,italian,3161417352,Originali
Bengio,restaurant,Via Gardesana,Lazise,Verona,37017,45.4993696,10.7370018,italian;pizza,3191609667,node,Originali
Gem's Brew Pub,restaurant,Gardesana Orientale,Lazise,Verona,37017,45.494638,10.739181,,,,Originali
L'Unico,restaurant,Via Copernico,Cisano,Verona,37011,45.5355357,10.7280452,,,,Originali
Gio,restaurant,Via Santa Cristina,Cisano,Verona,37011,45.5432533,10.7245972,,,,Originali
I Remenghi,restaurant,Via San Rocco,Roverè Veronese,Verona,37028,45.5524885,11.0858469,,,,Originali
Ca' del Diaolo,restaurant,Via Guglielmo Marconi,Sant'Andrea,Verona,37030,45.5847252,11.1526878,,,,Originali
Trattoria Osteria del popolo,restaurant,Via Torrente Vecchio,Verona,Verona,37127,45.4724146,10.9887737,pizza,5249038504,node,Originali
Trattoria Cappuccini,restaurant,Via Franco Faccio,Verona,Verona,37122,45.428165,10.9946268,+39 045 8032653,http://www.trattoriacappuccini.it/,3237996778,Originali
Pizzeria Sorriso,restaurant,Via Beniamino Romagnoli,Verona,Verona,37139,45.4389101,10.9423734,"Su 07:00-13:30,16:30-20:00; Sa 07:00-22:00; Mo-Fr 06:30-22:00",1650194625,3283484394,Originali
Pizzeria Da Nello,restaurant,Viale Vittorio Bachelet,Bussolengo,Verona,37012,45.4632652,10.8653176,,,,Originali
Pizza d'asporto Happy pizza,restaurant,Via San Pietro,Valeggio sul Mincio,Verona,37067,45.3566702,10.7400938,+39 0457950565,pizza,3328276707,Originali
da Battista,restaurant,Via Macello,Spinimbecco,Verona,37049,45.1598708,11.3635663,,,,Originali
Bordovasca,restaurant,Viale Olimpia,Villafranca di Verona,Verona,37069,45.3515613,10.8289125,Mo-Sa 09:00-19:30; Su 10:00-19:30,regional,3379652272,Originali
Alla Fedeltà,restaurant,Via Rodi,Verona,Verona,37139,45.4430569,10.9386598,+39 045 8902423,regional,3398143670,Originali
Pepenero,restaurant,Via Beniamino Romagnoli,Verona,Verona,37139,45.439004,10.9442724,,,,Originali
Pizza & Cafè,restaurant,Via Scala,Verona,Verona,37121,45.4408029,10.9968493,,,,Originali
La Negra Tomasa,restaurant,Piazza Villafranchetta,Villafranca di Verona,Verona,37069,45.3537241,10.8445824,,,,Originali
Al Gondoliere,restaurant,Piazza Vittorio Emanuele,Malcesine,Verona,37018,45.7646792,10.8079125,,,,Originali
La Molinara,restaurant,Piazzetta Ottolini,Verona,Verona,37121,45.4447629,10.9941807,4553697676,node,,Originali
Piscaria del Bugiardo,restaurant,Corso Sant'Anastasia,Verona,Verona,37121,45.4448029,10.9992185,+39 0454950663,seafood,4553685226,Originali
Oste Scuro,restaurant,Vicolo San Silvestro,Verona,Verona,37122,45.4383268,10.9876826,+39 045 592650,https://www.ristoranteostescuro.tv,"Tu-Sa 12:30-14:00, 19:30-22:30; Mo,Su 19:30-22:30",Originali
Osteria Casa Vino,restaurant,Vicolo Morette,Verona,Verona,37121,45.4393147,10.9891642,"Tu-Su 12:00-15:00,19:00-22:30",http://verona.mordimitalia.com,"Mo 11:30-16:00; Tu-We 11:30-16:00, 18:30-23:00; Th 11:30-16:00, 18:00-23:00; Fr 11:00-15:00, 18:30-00:00; Sa 11:30-16:00, 18:00-00:00; Su 11:30-16:00, 18:30-00:00",Originali
Pizzeria Dal Baffo,restaurant,Vicolo Aleardo Gafforini,Lazise,Verona,37017,45.5058796,10.7328756,+39 347 173 4604; +39 348 352 2432,https://www.georgefries.it/,chicken;fish_and_chips;friture,Originali
Ristorante Pizzeria Berengario,restaurant,Piazza Chiesa,Albisano,Verona,37010,45.6108515,10.6861512,,,,Originali
Casa Lady Garda,restaurant,Via Verdi,Garda,Verona,37016,45.5747746,10.7078294,+39 045 725 6562,http://www.casalady.it/casaladygarda-de/restaurant/,italian,Originali
Jolly,restaurant,Via Marco Polo,Garda,Verona,37016,45.5763457,10.7127789,+39457256157,"Fr-Tu 12:00-14:30,18:30-24:00",italian;pizza,Originali
Al Pie` Della Creta,restaurant,Via Bacilieri,Molina,Verona,37022,45.6116141,10.9098025,,,,Originali
"Ristorante Pizzeria ""Al Laghetto Cicogna""",restaurant,Via Dossi,Cicogna,Verona,36026,45.2763958,11.4868139,,,,Originali
Ristorante al lago delle Rose,restaurant,Via Giovanni Verga,Zevio,Verona,37059,45.3554563,11.0543821,,,,Originali
Corte Farina,restaurant,Corte Farina,Verona,Verona,37121,45.4414187,10.9942194,+39 045 8013818,http://www.trattoriacaprese.it/,verona@trattoriacaprese.it,Originali
Enoteca Ristorante Villa Gritti,restaurant,Via Villabella,San Bonifacio,Verona,37047,45.3993701,11.2438702,,,,Originali
Villa Canova,restaurant,Via Santa Teresa,Roverchiara,Verona,37050,45.2617863,11.2276355,+39 0442 685055,https://www.facebook.com/VillaCanova,"12:00-14:30,18:30-00:00",Originali
Tre Camini,restaurant,Località Albarella,Albarè,Verona,37010,45.5783431,10.751203,,,,Originali
Trattoria Il Feudo,restaurant,Via Antonio della Torre,Mezzane di Sotto,Verona,37030,45.4925168,11.1064216,,,,Originali
La Locanda,restaurant,Via Municipio,San Martino Buon Albergo,Verona,37036,45.4576524,11.1069998,,,,Originali
Pepenero Pizza & Grill,restaurant,Via San Vito,Zimella,Verona,37040,45.3477654,11.3732872,node,,,Originali
Trattoria - Pizzeria 'La Cola',restaurant,Strada per Montecchio,Verona,Verona,37127,45.4980103,10.9957111,,,,Originali
Dal Mori,restaurant,Via Roma,Sommacampagna,Verona,37066,45.4150547,10.895673,+39 340 6546125,https://www.pinseriadalmori.com/,Tu-Su 18:00-22:00,Originali
Pizzeria Trattoria Acquario,restaurant,Via San Felice,Cologna Veneta,Verona,37044,45.3067857,11.4047943,,,,Originali
Villa Eva,restaurant,Via Primo Maggio,Costermano sul Garda,Verona,37010,45.5873662,10.7471997,3780656067,node,,Originali
La Quercia,restaurant,Via Tonale,Verona,Verona,37126,45.4452172,10.9907415,italian,3800826502,node,Originali
PizzaExpress,restaurant,Via Giovanna Murari Brà,Verona,Verona,37136,45.420834,10.9766391,,,,Originali
Tutti i gusti,restaurant,Via Roveggia,Verona,Verona,37136,45.4199667,10.9753742,+39 045 4641144,https://www.pizzeriaoasigourmet.it/,info@pizzeriaoasigourmet.it,Originali
Pizzeria Corte Fusina,restaurant,Via Fusina,Grezzana,Verona,37023,45.5156598,11.0159766,+39 045 8668057,https://www.justeat.it/restaurants-super-grill-fastfood-grezzana/menu?utm_source=google&utm_medium=organic&utm_campaign=orderaction,kebab;pizza,Originali
Pizzeria E Gelateria Da Pierina,restaurant,Via Crosara,Grezzana,Verona,37023,45.5723812,10.9921213,+390458801988,pizza,3838754549,Originali
Pizzeria Da Mirko,restaurant,Via Roma,Grezzana,Verona,37023,45.5196701,11.0165149,+390458650481,12775532011,3841787379,Originali
Magnum Sev,restaurant,Via Olmo,Verona,Verona,37141,45.4556357,11.060062,,,,Originali
Le Guardie Ristorante,restaurant,Via Guardie,Costermano sul Garda,Verona,37010,45.5835106,10.7403047,,,,Originali
Agriturismo la Pace,restaurant,Via Galileo Ferraris,Valeggio sul Mincio,Verona,37067,45.2954922,10.7325667,https://www.agriturismolapace.it/,regional,3856410975,Originali
Ristorante Pizzeria Primavera,restaurant,Via Giacomo Muraro,Lonico,Verona,37020,45.5748619,11.0383152,italian;pizza,3859019184,node,Originali
Ristorante Veneranda,restaurant,Villaggio Termine,Corbiolo,Verona,37021,45.5891338,11.0339873,+39 045 7080155,https://www.ristorante-veneranda.it/,"Mo-Su 12:00-15:00,18:30-23:30",Originali
Ristorante e Locanda Guglielmini,restaurant,Via Lessini,Lonico,Verona,37020,45.5746437,11.0397644,+39 045 7080086,https://www.ristoranteguglielmini.it/,info@ristoranteguglielmini.it,Originali
Agriturismo Corte Verzè,restaurant,Località Cambran,Cazzano di Tramigna,Verona,37030,45.4785702,11.2151632,,,,Originali
Opificio dei sensi,restaurant,Via Brolo Musella,San Martino Buon Albergo,Verona,37036,45.4434089,11.0798171,+39 045 8947356,https://www.opificiodeisensi.it/,info.opificiodeisensi@gmail.com,Originali
June Beach Restaurant,restaurant,Via Gardesana,Assenza,Verona,37132,45.7283558,10.7813607,,,,Originali
Re Gallo,restaurant,Via Rezzola,Sommacampagna,Verona,37066,45.4160892,10.86323,+39 045 8960294,http://www.regalloverona.it/,info@regalloverona.it,Originali
Dolci Colli - Bike & Family Hotel,restaurant,Via Mantova,Peschiera del Garda,Verona,37019,45.4271572,10.6857494,,,,Originali
Trattoria Begnoni,restaurant,Via Francesco Miniscalchi,Mozzecane,Verona,37060,45.3205325,10.8302565,+39 045 7930240,http://www.trattoriabegnoni.it/,info@trattoriabegnoni.it,Originali
Croce del Vento Agriturismo,restaurant,Via Verdella,Tregnago,Verona,37039,45.5337046,11.1817974,,,,Originali
La Genuina,restaurant,Via Enrico Fermi,Verona,Verona,37135,45.401584,10.9724004,,,,Originali
Brunelli Winery,restaurant,Via Cariano,San Pietro in Cariano,Verona,37029,45.5168776,10.8736093,4185770792,node,,Originali
